Model Prediction	Tags	Tokens
O	O	of
O	O	a
O	O	unique
O	O	de
O	O	novo
O	O	L1
O	O	insertion
O	O	in
O	O	the
O	O	muscle
O	O	exon
O	O	1
O	O	in
B	O	DMD
O	O	in
O	O	three
B	B	XLDCM
O	O	patients
O	O	from
O	O	two
O	O	unrelated
O	O	Japanese
O	O	families
O	O	.
O	O	The
O	O	insertion
O	O	was
O	O	a
O	O	5
O	O	-
O	O	truncated
O	O	form
O	O	of
O	O	human
O	O	L1
O	O	inversely
O	O	integrated
O	O	in
O	O	the
O	O	5
O	O	-
O	O	untranslated
O	O	region
O	O	in
O	O	the
O	O	muscle
O	O	exon
O	O	1
O	O	,
O	O	which
O	O	affected
O	O	the
O	O	transcription
O	O	or
O	O	the
O	O	stability
O	O	of
O	O	the
O	O	muscle
O	O	form
O	O	of
O	O	dystrophin
O	O	transcripts
O	O	but
O	O	not
O	O	that
O	O	of
O	O	the
O	O	brain
O	O	or
O	O	Purkinje
O	O	cell
O	O	form
O	O	,
O	O	probably
O	O	due
O	O	to
O	O	its
O	O	unique
O	O	site
O	O	of
O	O	integration
O	O	.
O	O	We
O	O	speculate
O	O	that
O	O	this
O	O	insertion
O	O	of
O	O	an
O	O	L1
O	O	sequence
O	O	in
B	O	DMD
O	O	is
O	O	responsible
O	O	for
O	O	some
O	O	of
O	O	the
O	O	population
O	O	of
O	O	Japanese
O	O	patients
O	O	with
B	B	XLDCM
O	O	.
O	O	.
O	O	Severe
O	O	early
O	O	-
O	O	onset
B	B	obesity
O	O	,
B	B	adrenal
I	I	insufficiency
O	O	and
B	O	red
I	O	hair
I	O	pigmentation
O	O	caused
O	O	by
B	O	POMC
O	O	mutations
O	O	in
O	O	humans
O	O	.
O	O	Sequential
O	O	cleavage
O	O	of
O	O	the
O	O	precursor
O	O	protein
O	O	pre
O	O	-
O	O	pro
O	O	-
O	O	opiomelanocortin
O	O	(
O	O	POMC
O	O	)
O	O	generates
O	O	the
O	O	melanocortin
O	O	peptides
O	O	adrenocorticotrophin
O	O	(
O	O	ACTH
O	O	)
O	O	,
O	O	melanocyte
O	O	-
O	O	stimulating
O	O	hormones
O	O	(
O	O	MSH
O	O	)
O	O	alpha
O	O	,
O	O	beta
O	O	and
O	O	gamma
O	O	as
O	O	well
O	O	as
O	O	the
O	O	opioid
O	O	-
O	O	receptor
O	O	ligand
O	O	beta
O	O	-
O	O	endorphin
O	O	.
O	O	While
O	O	a
O	O	few
O	O	cases
O	O	of
O	O	isolated
B	B	ACTH
I	I	deficiency
O	O	have
O	O	been
O	O	reported
O	O	(
O	O	OMIM
O	O	201400
O	O	)
O	O	,
O	O	an
O	O	inherited
B	O	POMC
I	O	defect
O	O	has
O	O	not
O	O	been
O	O	described
O	O	so
O	O	far
O	O	.
O	O	Recent
O	O	studies
O	O	in
O	O	animal
O	O	models
O	O	elucidated
O	O	a
O	O	central
O	O	role
O	O	of
O	O	alpha
O	O	-
O	O	MSH
O	O	in
O	O	the
O	O	regulation
O	O	of
O	O	food
O	O	intake
O	O	by
O	O	activation
O	O	of
O	O	the
O	O	brain
O	O	melanocortin
O	O	-
O	O	4
O	O	-
O	O	receptor
O	O	(
O	O	MC4
O	O	-
O	O	R
O	O	;
O	O	refs
O	O	3
O	O	-
O	O	5
O	O	)
O	O	and
O	O	the
O	O	linkage
O	O	of
O	O	human
B	B	obesity
O	O	to
O	O	chromosome
O	O	2
O	O	in
O	O	close
O	O	proximity
O	O	to
O	O	the
B	O	POMC
O	O	locus
O	O	,
O	O	led
O	O	to
O	O	the
O	O	proposal
O	O	of
O	O	an
O	O	association
O	O	of
B	O	POMC
O	O	with
O	O	human
B	B	obesity
O	O	.
O	O	The
O	O	dual
O	O	role
O	O	of
O	O	alpha
O	O	-
O	O	MSH
O	O	in
O	O	regulating
O	O	food
O	O	intake
O	O	and
O	O	influencing
O	O	hair
I	O	pigmentation
O	O	predicts
O	O	that
O	O	the
O	O	phenotype
O	O	associated
O	O	with
O	O	a
O	O	defect
O	O	in
B	O	POMC
O	O	function
O	O	would
O	O	include
B	B	obesity
O	O	,
O	O	alteration
O	O	in
O	O	pigmentation
O	O	and
B	B	ACTH
I	I	deficiency
O	O	.
O	O	The
O	O	observation
O	O	of
O	O	these
O	O	symptoms
O	O	in
O	O	two
O	O	probands
O	O	prompted
O	O	us
O	O	to
O	O	search
O	O	for
O	O	mutations
O	O	within
O	O	their
B	O	POMC
O	O	genes
O	O	.
O	O	Patient
O	O	1
O	O	was
O	O	found
O	O	to
O	O	be
O	O	a
O	O	compound
O	O	heterozygote
O	O	for
O	O	two
O	O	mutations
O	O	in
O	O	exon
O	O	3
O	O	(
O	O	G7013T
O	O	,
O	O	C7133delta
O	O	)
O	O	which
O	O	interfere
O	O	with
O	O	appropriate
O	O	synthesis
O	O	of
O	O	ACTH
O	O	and
O	O	alpha
O	O	-
O	O	MSH
O	O	.
O	O	Patient
O	O	2
O	O	was
O	O	homozygous
O	O	for
O	O	a
O	O	mutation
O	O	in
O	O	exon
O	O	2
O	O	(
O	O	C3804A
O	O	)
O	O	which
O	O	abolishes
O	O	POMC
O	O	translation
O	O	.
O	O	These
O	O	findings
O	O	represent
O	O	the
O	O	first
O	O	examples
O	O	of
O	O	a
B	B	genetic
O	I	defect
O	O	within
O	O	the
B	O	POMC
O	O	gene
O	O	and
O	O	define
O	O	a
O	O	new
O	B	monogenic
B	I	endocrine
I	I	disorder
O	O	resulting
O	O	in
O	O	early
O	O	-
O	O	onset
B	B	obesity
O	O	,
B	B	adrenal
I	I	insufficiency
O	O	and
B	O	red
I	O	hair
I	O	pigmentation
O	O	.
O	O	.
O	O	A
O	O	European
O	O	multicenter
O	O	study
O	O	of
B	B	phenylalanine
I	I	hydroxylase
I	I	deficiency
O	O	:
O	O	classification
O	O	of
O	O	105
O	O	mutations
O	O	and
O	O	a
O	O	general
O	O	system
O	O	for
O	O	genotype
O	O	-
O	O	based
O	O	prediction
O	O	of
O	O	metabolic
O	O	phenotype
O	O	.
B	B	Phenylketonuria
O	O	(
B	B	PKU
O	O	)
O	O	and
B	B	mild
B	I	hyperphenylalaninemia
O	O	(
B	B	MHP
O	O	)
O	O	are
B	B	allelic
I	I	disorders
O	O	caused
O	O	by
O	O	mutations
O	O	in
O	O	the
O	O	gene
O	O	encoding
O	O	phenylalanine
O	O	hydroxylase
O	O	(
O	O	PAH
O	O	)
O	O	.
O	O	Previous
O	O	studies
O	O	have
O	O	suggested
O	O	that
O	O	the
O	O	highly
O	O	variable
O	O	metabolic
O	O	phenotypes
O	O	of
B	B	PAH
I	I	deficiency
O	O	correlate
O	O	with
B	O	PAH
O	O	genotypes
O	O	.
O	O	We
O	O	identified
O	O	both
O	O	causative
O	O	mutations
O	O	in
O	O	686
O	O	patients
O	O	from
O	O	seven
O	O	European
O	O	centers
O	O	.
O	O	On
O	O	the
O	O	basis
O	O	of
O	O	the
O	O	phenotypic
O	O	characteristics
O	O	of
O	O	297
O	O	functionally
O	O	hemizygous
O	O	patients
O	O	,
O	O	105
O	O	of
O	O	the
O	O	mutations
O	O	were
O	O	assigned
O	O	to
O	O	one
O	O	of
O	O	four
O	O	arbitrary
O	O	phenotype
O	O	categories
O	O	.
O	O	We
O	O	proposed
O	O	and
O	O	tested
O	O	a
O	O	simple
O	O	model
O	O	for
O	O	correlation
O	O	between
O	O	genotype
O	O	and
O	O	phenotypic
O	O	outcome
O	O	.
O	O	The
O	O	observed
O	O	phenotype
O	O	matched
O	O	the
O	O	predicted
O	O	phenotype
O	O	in
O	O	79
O	O	%
O	O	of
O	O	the
O	O	cases
O	O	,
O	O	and
O	O	in
O	O	only
O	O	5
O	O	of
O	O	184
O	O	patients
O	O	was
O	O	the
O	O	observed
O	O	phenotype
O	O	more
O	O	than
O	O	one
O	O	category
O	O	away
O	O	from
O	O	that
O	O	expected
O	O	.
O	O	Among
O	O	the
O	O	seven
O	O	contributing
O	O	centers
O	O	,
O	O	the
O	O	proportion
O	O	of
O	O	patients
O	O	for
O	O	whom
O	O	the
O	O	observed
O	O	phenotype
O	O	did
O	O	not
O	O	match
O	O	the
O	O	predicted
O	O	phenotype
O	O	was
O	O	4
O	O	%
O	O	-
O	O	23
O	O	%
O	O	(
O	O	P
O	O	<
O	O	.
O	O	0001
O	O	)
O	O	,
O	O	suggesting
O	O	that
O	O	differences
O	O	in
O	O	methods
O	O	used
O	O	for
O	O	mutation
O	O	detection
O	O	or
O	O	phenotype
O	O	classification
O	O	may
O	O	account
O	O	for
O	O	a
O	O	considerable
O	O	proportion
O	O	of
O	O	genotype
O	O	-
O	O	phenotype
O	O	inconsistencies
O	O	.
O	O	Our
O	O	data
O	O	indicate
O	O	that
O	O	the
O	O	PAH
O	O	-
O	O	mutation
O	O	genotype
O	O	is
O	O	the
O	O	main
O	O	determinant
O	O	of
O	O	metabolic
O	O	phenotype
O	O	in
O	O	most
O	O	patients
O	O	with
B	B	PAH
I	I	deficiency
O	O	.
O	O	In
O	O	the
O	O	present
O	O	study
O	O	,
O	O	the
O	O	classification
O	O	of
O	O	105
O	O	PAH
O	O	mutations
O	O	may
O	O	allow
O	O	the
O	O	prediction
O	O	of
O	O	the
O	O	biochemical
O	O	phenotype
O	O	in
O	O	>
O	O	10
O	O	,
O	O	000
O	O	genotypes
O	O	,
O	O	which
O	O	may
O	O	be
O	O	useful
O	O	for
O	O	the
O	O	management
O	O	of
B	B	hyperphenylalaninemia
O	O	in
O	O	newborns
O	O	.
O	O	Somatic
O	O	instability
O	O	of
O	O	the
O	O	CTG
O	O	repeat
O	O	in
O	O	mice
O	O	transgenic
O	O	for
O	O	the
B	B	myotonic
I	I	dystrophy
O	O	region
O	O	is
O	O	age
O	O	dependent
O	O	but
O	O	not
O	O	correlated
O	O	to
O	O	the
O	O	relative
O	O	intertissue
O	O	transcription
O	O	levels
O	O	and
O	O	proliferative
O	O	capacities
O	O	.
O	O	A
O	O	(
O	O	CTG
O	O	)
O	O	nexpansion
O	O	in
O	O	the
O	O	3
O	O	-
O	O	untranslated
O	O	region
O	O	(
O	O	UTR
O	O	)
O	O	of
O	O	the
B	O	DM
O	O	protein
O	O	kinase
O	O	gene
O	O	(
O	O	DMPK
O	O	)
O	O	is
O	O	responsible
O	O	for
O	O	causing
B	B	myotonic
I	I	dystrophy
O	O	(
B	B	DM
O	O	)
O	O	.
O	O	Major
O	O	instability
O	O	,
O	O	with
O	O	very
O	O	large
O	O	expansions
O	O	between
O	O	generations
O	O	and
O	O	high
O	O	levels
O	O	of
O	O	somatic
O	O	mosaicism
O	O	,
O	O	is
O	O	observed
O	O	in
O	O	patients
O	O	.
O	O	There
O	O	is
O	O	a
O	O	good
O	O	correlation
O	O	between
O	O	repeat
O	O	size
O	O	(
O	O	at
O	O	least
O	O	in
O	O	leucocytes
O	O	)
O	O	,
O	O	clinical
O	O	severity
O	O	and
O	O	age
O	O	of
O	O	onset
O	O	.
O	O	The
O	O	trinucleotide
O	O	repeat
O	O	instability
O	O	mechanisms
O	O	involved
O	O	in
B	B	DM
O	O	and
O	O	other
O	O	human
B	B	genetic
O	I	diseases
O	O	are
O	O	unknown
O	O	.
O	O	We
O	O	studied
O	O	somatic
O	O	instability
O	O	by
O	O	measuring
O	O	the
O	O	CTG
O	O	repeat
O	O	length
O	O	at
O	O	several
O	O	ages
O	O	in
O	O	various
O	O	tissues
O	O	of
O	O	transgenic
O	O	mice
O	O	carrying
O	O	a
O	O	(
O	O	CTG
O	O	)
O	O	55expansion
O	O	surrounded
O	O	by
O	O	45
O	O	kb
O	O	of
O	O	the
O	O	human
B	B	DM
O	O	region
O	O	,
O	O	using
O	O	small
O	O	-
O	O	pool
O	O	PCR
O	O	.
O	O	These
O	O	mice
O	O	have
O	O	been
O	O	shown
O	O	to
O	O	reproduce
O	O	the
O	O	intergenerational
O	O	and
O	O	somatic
O	O	instability
O	O	of
O	O	the
O	O	55
O	O	CTG
O	O	repeat
O	O	suggesting
O	O	that
O	O	surrounding
O	O	sequences
O	O	and
O	O	the
O	O	chromatin
O	O	environment
O	O	are
O	O	involved
O	O	in
O	O	instability
O	O	mechanisms
O	O	.
O	O	As
O	O	observed
O	O	in
O	O	some
O	O	of
O	O	the
O	O	tissues
O	O	of
B	B	DM
O	O	patients
O	O	,
O	O	there
O	O	is
O	O	a
O	O	tendency
O	O	for
O	O	repeat
O	O	length
O	O	and
O	O	somatic
O	O	mosaicism
O	O	to
O	O	increase
O	O	with
O	O	the
O	O	age
O	O	of
O	O	the
O	O	mouse
O	O	.
O	O	Furthermore
O	O	,
O	O	we
O	O	observed
O	O	no
O	O	correlation
O	O	between
O	O	the
O	O	somatic
O	O	mutation
O	O	rate
O	O	and
O	O	tissue
O	O	proliferation
O	O	capacity
O	O	.
O	O	The
O	O	somatic
O	O	mutation
O	O	rates
O	O	in
O	O	different
O	O	tissues
O	O	were
O	O	also
O	O	not
O	O	correlated
O	O	to
O	O	the
O	O	relative
O	O	inter
O	O	-
O	O	tissue
O	O	difference
O	O	in
O	O	transcriptional
O	O	levels
O	O	of
O	O	the
O	O	three
O	O	genes
O	O	(
O	O	DMAHP
O	O	,
O	O	DMPK
O	O	and
O	O	59
O	O	)
O	O	surrounding
O	O	the
O	O	repeat
O	O	.
O	O	.
O	O	A
O	O	novel
O	O	missense
O	O	mutation
O	O	in
O	O	patients
O	O	from
O	O	a
B	B	retinoblastoma
O	O	pedigree
O	O	showing
O	O	only
O	O	mild
O	O	expression
O	O	of
O	O	the
B	B	tumor
O	O	phenotype
O	O	.
O	O	We
O	O	have
O	O	used
O	O	single
O	O	strand
O	O	conformation
O	O	polymorphism
O	O	analysis
O	O	to
O	O	study
O	O	the
O	O	27
O	O	exons
O	O	of
O	O	the
O	O	RB1
O	O	gene
O	O	in
O	O	individuals
O	O	from
O	O	a
O	O	family
O	O	showing
O	O	mild
O	O	expression
O	O	of
O	O	the
B	B	retinoblastoma
O	O	phenotype
O	O	.
O	O	In
O	O	this
O	O	family
O	O	affected
O	O	individuals
O	O	developed
B	B	unilateral
I	I	tumors
O	O	and
O	O	,
O	O	as
O	O	a
O	O	result
O	O	of
O	O	linkage
O	O	analysis
O	O	,
O	O	unaffected
O	O	mutation
O	O	carriers
O	O	were
O	O	also
O	O	identified
O	O	within
O	O	the
O	O	pedigree
O	O	.
O	O	A
O	O	single
O	O	band
O	O	shift
O	O	using
O	O	SSCP
O	O	was
O	O	identified
O	O	in
O	O	exon
O	O	21
O	O	which
O	O	resulted
O	O	in
O	O	a
O	O	missense
O	O	mutation
O	O	converting
O	O	a
O	O	cys
O	O	-
O	O	-
O	O	>
O	O	arg
O	O	at
O	O	nucleotide
O	O	position
O	O	28
O	O	in
O	O	the
O	O	exon
O	O	.
O	O	The
O	O	mutation
O	O	destroyed
O	O	an
O	O	NdeI
O	O	restriction
O	O	enzyme
O	O	site
O	O	.
O	O	Analysis
O	O	of
O	O	all
O	O	family
O	O	members
O	O	demonstrated
O	O	that
O	O	the
O	O	missense
O	O	mutation
O	O	co
O	O	-
O	O	segregated
O	O	with
O	O	patients
O	O	with
B	B	tumors
O	O	or
O	O	who
O	O	,
O	O	as
O	O	a
O	O	result
O	O	of
O	O	linkage
O	O	analysis
O	O	had
O	O	been
O	O	predicted
O	O	to
O	O	carry
O	O	the
O	O	predisposing
O	O	mutation
O	O	.
O	O	These
O	O	observations
O	O	point
O	O	to
O	O	another
O	O	region
O	O	of
O	O	the
O	O	RB1
O	O	gene
O	O	where
O	O	mutations
O	O	only
O	O	modify
O	O	the
O	O	function
O	O	of
O	O	the
O	O	gene
O	O	and
O	O	raise
O	O	important
O	O	questions
O	O	for
O	O	genetic
O	O	counseling
O	O	in
O	O	families
O	O	with
O	O	these
O	O	distinctive
O	O	phenotypes
O	O	.
O	O	.
B	B	Maternal
I	I	disomy
O	O	and
B	B	Prader
I	I	-
I	I	Willi
I	I	syndrome
O	O	consistent
O	O	with
O	O	gamete
O	O	complementation
O	O	in
O	O	a
O	O	case
O	O	of
O	O	familial
O	O	translocation
O	O	(
O	O	3
O	O	;
O	O	15
O	O	)
O	O	(
O	O	p25
O	O	;
O	O	q11
O	O	.
O	O	2
O	O	)
O	O	.
B	B	Maternal
I	I	uniparental
I	I	disomy
O	I	(
B	I	UPD
O	I	)
O	I	for
O	I	chromosome
O	I	15
O	O	is
O	O	responsible
O	O	for
O	O	an
O	O	estimated
O	O	30
O	O	%
O	O	of
O	O	cases
O	O	of
B	B	Prader
I	I	-
I	I	Willi
I	I	syndrome
O	O	(
B	B	PWS
O	O	)
O	O	.
O	O	We
O	O	report
O	O	on
O	O	an
O	O	unusual
O	O	case
O	O	of
B	B	maternal
I	I	disomy
I	I	15
O	O	in
B	B	PWS
O	O	that
O	O	is
O	O	most
O	O	consistent
O	O	with
O	O	adjacent
O	O	-
O	O	1
O	O	segregation
O	O	of
O	O	a
O	O	paternal
O	O	t
O	O	(
O	O	3
O	O	;
O	O	15
O	O	)
O	O	(
O	O	p25
O	O	;
O	O	q11
O	O	.
O	O	2
O	O	)
O	O	with
O	O	simultaneous
O	O	maternal
O	O	meiotic
O	O	nondisjunction
O	O	for
O	O	chromosome
O	O	15
O	O	.
O	O	The
O	O	patient
O	O	(
O	O	J
O	O	.
O	O	B
O	O	.
O	O	)
O	O	,
O	O	a
O	O	17
O	O	-
O	O	year
O	O	-
O	O	old
O	O	white
O	O	male
O	O	with
B	B	PWS
O	O	,
O	O	was
O	O	found
O	O	to
O	O	have
O	O	47
O	O	chromosomes
O	O	with
O	O	a
O	O	supernumerary
O	O	,
O	O	paternal
O	O	der
O	O	(
O	O	15
O	O	)
O	O	consisting
O	O	of
O	O	the
O	O	short
O	O	arm
O	O	and
O	O	the
O	O	proximal
O	O	long
O	O	arm
O	O	of
O	O	chromosome
O	O	15
O	O	,
O	O	and
O	O	distal
O	O	chromosome
O	O	arm
O	O	3p
O	O	.
O	O	The
O	O	t
O	O	(
O	O	3
O	O	;
O	O	15
O	O	)
O	O	was
O	O	present
O	O	in
O	O	the
O	O	balanced
O	O	state
O	O	in
O	O	the
O	O	patients
O	O	father
O	O	and
O	O	a
O	O	sister
O	O	.
O	O	Fluorescent
O	O	in
O	O	situ
O	O	hybridization
O	O	analysis
O	O	demonstrated
O	O	that
O	O	the
B	B	PWS
O	O	critical
O	O	region
O	O	resided
O	O	on
O	O	the
O	O	derivative
O	O	chromosome
O	O	3
O	O	and
O	O	that
O	O	there
O	O	was
O	O	no
O	O	deletion
O	O	of
O	O	the
B	B	PWS
O	O	region
O	O	on
O	O	the
O	O	normal
O	O	pair
O	O	of
O	O	15s
O	O	present
O	O	in
O	O	J
O	O	.
O	O	B
O	O	.
O	O	Methylation
O	O	analysis
O	O	at
O	O	exon
O	O	alpha
O	O	of
O	O	the
O	O	small
O	O	nuclear
O	O	ribonucleoprotein
O	O	-
O	O	associated
O	O	polypeptide
O	O	N
O	O	(
O	O	SNRPN
O	O	)
O	O	gene
O	O	showed
O	O	a
O	O	pattern
O	O	characteristic
O	O	of
O	O	only
O	O	the
O	O	maternal
O	O	chromosome
O	O	15
O	O	in
O	O	J
O	O	.
O	O	B
O	O	.
O	B	Maternal
I	I	disomy
O	O	was
O	O	confirmed
O	O	by
O	O	polymerase
O	O	chain
O	O	reaction
O	O	analysis
O	O	of
O	O	microsatellite
O	O	repeats
O	O	at
O	O	the
O	O	gamma
O	O	-
O	O	aminobutyric
O	O	acid
O	O	receptor
O	O	beta3
O	O	subunit
O	O	(
O	O	GABRB3
O	O	)
O	O	locus
O	O	.
O	O	A
O	O	niece
O	O	(
O	O	B
O	O	.
O	O	B
O	O	.
O	O	)
O	O	with
O	O	45
O	O	chromosomes
O	O	and
O	O	the
O	O	derivative
O	O	3
O	O	but
O	O	without
O	O	the
O	O	der
O	O	(
O	O	15
O	O	)
O	O	demonstrated
O	O	a
O	O	phenotype
O	O	consistent
O	O	with
O	O	that
O	O	reported
O	O	for
B	O	haploinsufficiency
I	O	of
I	O	distal
I	O	3
O	O	p
O	O	.
B	B	Uniparental
I	I	disomy
O	O	associated
O	O	with
O	O	unbalanced
O	O	segregation
O	O	of
O	O	non
O	O	-
O	O	Robertsonian
O	O	translocations
O	O	has
O	O	been
O	O	reported
O	O	previously
O	O	but
O	O	has
O	O	not
O	O	,
O	O	to
O	O	our
O	O	knowledge
O	O	,
O	O	been
O	O	observed
O	O	in
O	O	a
O	O	case
O	O	of
B	B	PWS
O	O	.
O	O	Furthermore
O	O	,
O	O	our
O	O	findings
O	O	are
O	O	best
O	O	interpreted
O	O	as
O	O	true
O	O	gamete
O	O	complementation
O	O	resulting
O	O	in
O	B	maternal
B	I	UPD
O	I	15
O	O	and
B	B	PWS
B	B	Schwartz
I	I	-
I	I	Jampel
I	I	syndrome
I	I	type
I	I	2
O	O	and
B	B	Stuve
I	I	-
I	I	Wiedemann
I	I	syndrome
O	O	:
O	O	a
O	O	case
O	O	for
O	O	""""
O	O	lumping
O	O	""""
O	O	.
O	O	Recent
O	O	studies
O	O	demonstrated
O	O	the
O	O	existence
O	O	of
O	O	a
O	O	genetically
O	O	distinct
O	O	,
O	O	usually
O	O	lethal
O	O	form
O	O	of
O	O	the
B	B	Schwartz
I	I	-
I	I	Jampel
I	I	syndrome
O	O	(
B	B	SJS
O	O	)
O	O	of
B	B	myotonia
O	O	and
B	B	skeletal
I	I	dysplasia
O	O	,
O	O	which
O	O	we
O	O	called
B	B	SJS
O	I	type
O	I	2
O	O	.
O	O	This
O	O	disorder
O	O	is
O	O	reminiscent
O	O	of
O	O	another
O	O	rare
O	O	condition
O	O	,
O	O	the
B	B	Stuve
I	I	-
I	I	Wiedemann
I	I	syndrome
O	O	(
B	B	SWS
O	O	)
O	O	,
O	O	which
O	O	comprises
B	B	campomelia
O	O	at
O	O	birth
O	O	with
B	B	skeletal
I	I	dysplasia
O	O	,
B	B	contractures
O	O	,
O	O	and
O	B	early
O	I	death
O	O	.
O	O	To
O	O	test
O	O	for
O	O	possible
O	O	nosologic
O	O	identity
O	O	between
O	O	these
O	O	disorders
O	O	,
O	O	we
O	O	reviewed
O	O	the
O	O	literature
O	O	and
O	O	obtained
O	O	a
O	O	follow
O	O	-
O	O	up
O	O	of
O	O	the
O	O	only
O	O	two
O	O	surviving
O	O	patients
O	O	,
O	O	one
O	O	with
B	B	SJS
I	I	type
I	I	2
O	O	at
O	O	age
O	O	10
O	O	years
O	O	and
O	O	another
O	O	with
B	B	SWS
O	O	at
O	O	age
O	O	7
O	O	years
O	O	.
O	O	Patients
O	O	reported
O	O	as
O	O	having
O	O	either
O	O	neonatal
B	B	SJS
O	O	or
B	B	SWS
O	O	presented
O	O	a
O	O	combination
O	O	of
O	O	a
O	O	severe
O	O	,
O	O	prenatal
O	O	-
O	O	onset
B	B	neuromuscular
I	I	disorder
O	O	(
O	O	with
B	B	congenital
I	I	joint
I	I	contractures
O	O	,
B	O	respiratory
I	O	and
O	O	feeding
I	O	difficulties
O	O	,
O	O	tendency
O	O	to
B	B	hyperthermia
O	O	,
O	O	and
O	O	frequent
O	O	death
O	O	in
O	O	infancy
O	O	)
O	O	with
O	O	a
O	O	distinct
B	B	campomelic
I	I	-
I	I	metaphyseal
I	I	skeletal
I	I	dysplasia
O	O	.
O	O	The
O	O	similarity
O	O	of
O	O	the
O	O	clinical
O	O	and
O	O	radiographic
O	O	findings
O	O	is
O	O	so
O	O	extensive
O	O	that
O	O	these
O	O	disorders
O	O	appear
O	O	to
O	O	be
O	O	a
O	O	single
O	O	entity
O	O	.
O	O	The
O	O	follow
O	O	-
O	O	up
O	O	observation
O	O	of
O	O	an
O	O	identical
O	O	and
O	O	unique
O	O	pattern
O	O	of
O	O	progressive
B	B	bone
I	I	dysplasia
O	O	in
O	O	the
O	O	two
O	O	patients
O	O	(
O	O	one
O	O	with
B	B	SJS
I	I	type
I	I	2
O	O	,
O	O	one
O	O	with
B	B	SWS
O	O	)
O	O	surviving
O	O	beyond
O	O	infancy
O	O	adds
O	O	to
O	O	the
O	O	evidence
O	O	in
O	O	favor
O	O	of
O	O	identity
O	O	.
O	O	The
O	O	hypothesis
O	O	that
B	B	SWS
O	O	and
B	B	SJS
I	I	type
I	I	2
O	O	are
O	O	the
O	O	same
O	O	disorder
O	O	should
O	O	be
O	O	testable
O	O	by
O	O	molecular
O	O	methods
O	O	.
O	O	.
O	O	A
O	O	mouse
O	O	model
O	O	of
O	O	severe
B	B	von
I	I	Willebrand
I	I	disease
O	O	:
O	O	defects
O	O	in
B	O	hemostasis
O	O	and
B	B	thrombosis
O	O	.
B	B	von
I	I	Willebrand
I	I	factor
I	I	(
B	I	vWf
I	I	)
I	I	deficiency
O	O	causes
O	O	severe
B	B	von
I	I	Willebrand
I	I	disease
O	O	in
O	O	humans
O	O	.
O	O	We
O	O	generated
O	O	a
O	O	mouse
O	O	model
O	O	for
O	O	this
O	O	disease
O	O	by
O	O	using
O	O	gene
O	O	targeting
O	O	.
B	B	vWf
I	I	-
O	I	deficient
O	O	mice
O	O	appeared
O	O	normal
O	O	at
O	O	birth
O	O	;
O	O	they
O	O	were
O	O	viable
O	O	and
O	O	fertile
O	O	.
O	O	Neither
O	O	vWf
O	O	nor
O	O	vWf
O	O	propolypeptide
O	O	(
B	B	von
I	I	Willebrand
O	O	antigen
O	O	II
O	O	)
O	O	were
O	O	detectable
O	O	in
O	O	plasma
O	O	,
O	O	platelets
O	O	,
O	O	or
O	O	endothelial
O	O	cells
O	O	of
O	O	the
O	O	homozygous
O	O	mutant
O	O	mice
O	O	.
O	O	The
O	O	mutant
O	O	mice
O	O	exhibited
O	O	defects
O	O	in
B	O	hemostasis
O	O	with
O	O	a
O	O	highly
O	O	prolonged
O	O	bleeding
O	O	time
O	O	and
O	O	spontaneous
O	O	bleeding
O	O	events
O	O	in
O	O	approximately
O	O	10
O	O	%
O	O	of
O	O	neonates
O	O	.
O	O	As
O	O	in
O	O	the
O	O	human
O	O	disease
O	O	,
O	O	the
O	O	factor
O	O	VIII
O	O	level
O	O	in
O	O	these
O	O	mice
O	O	was
O	O	reduced
O	O	strongly
O	O	as
O	O	a
O	O	result
O	O	of
O	O	the
O	O	lack
O	O	of
O	O	protection
O	O	provided
O	O	by
O	O	vWf
O	O	.
B	O	Defective
I	B	thrombosis
O	O	in
O	O	mutant
O	O	mice
O	O	was
O	O	also
O	O	evident
O	O	in
O	O	an
O	O	in
O	O	vivo
O	O	model
O	O	of
B	B	vascular
O	I	injury
O	O	.
O	O	In
O	O	this
O	O	model
O	O	,
O	O	the
O	O	exteriorized
O	O	mesentery
O	O	was
O	O	superfused
O	O	with
O	O	ferric
O	O	chloride
O	O	and
O	O	the
O	O	accumulation
O	O	of
O	O	fluorescently
O	O	labeled
O	O	platelets
O	O	was
O	O	observed
O	O	by
O	O	intravital
O	O	microscopy
O	O	.
O	O	We
O	O	conclude
O	O	that
O	O	these
O	O	mice
O	O	very
O	O	closely
O	O	mimic
O	O	severe
O	O	human
B	B	von
I	I	Willebrand
I	I	disease
O	O	and
O	O	will
O	O	be
O	O	very
O	O	useful
O	O	for
O	O	investigating
O	O	the
O	O	role
O	O	of
O	O	vWf
O	O	in
O	O	normal
O	O	physiology
O	O	and
O	O	in
O	O	disease
O	O	models
O	O	.
O	O	.
O	O	Oral
O	O	contraceptives
O	O	and
O	O	the
O	O	risk
O	O	of
B	B	hereditary
I	I	ovarian
I	I	cancer
O	O	.
B	B	Hereditary
I	I	Ovarian
I	I	Cancer
O	O	Clinical
O	O	Study
O	O	Group
O	O	.
O	O	BACKGROUND
O	O	Women
O	O	with
O	O	mutations
O	O	in
O	O	either
O	O	the
O	O	BRCA1
O	O	or
O	O	the
O	O	BRCA2
O	O	gene
O	O	have
O	O	a
O	O	high
O	O	lifetime
O	O	risk
